"AttributeName","Attribute format"
"ClaimID","ID"
"Injury_Date","Date"
"Date_reported","Date"
"Age_Injured","YYYMM format"
"Employment_status","Y / N / {space}  format"
"Work_related_injury_status","Y / N / {space}  format"
"Death","A / {space} format"
"Amputation","B / {space} format"
"Burns_heat","C / {space} format"
"Burns_chemical","D / {space} format"
"SystemicPoisoning_toxic","E / {space} format"
"SystemicPoisoning_other","F / {space} format"
"Eye_injury_blindness","G / {space} format"
"RespiratoryCondition","H / {space} format"
"NervousCondition","I / {space} format"
"HearingLoss","J / {space} format"
"CirculatoryCondition","K / {space} format"
"MultipleInjuries","L / {space} format"
"BackInjury","M / {space} format"
"SkinDisorder","N / {space} format"
"BrainDamage","O / {space} format"
"Scarring","P / {space} format"
"SpinalCordInjuries","Q / {space} format"
"OtherInjuries","R / {space} format"
"OffRoadVehicle","A / {space} format"
"AirTransportation","B / {space} format"
"Railway","C / {space} format"
"OtherMotorVehicle","D / {space} format"
"SurgicalCare","E / {space} format"
"Falls","F / {space} format"
"Drowning","G / {space} format"
"UseOfDefectiveProduct","H / {space} format"
"Fire","I / {space} format"
"Firearm","J / {space} format"
"Pollution_ToxicExposure","K / {space} format"
"Explosions","L / {space} format"
"UseOfAgrlMachinery","M / {space} format"
"Oil_gasExtraction","N / {space} format"
"OtherModeOfInjury","O / {space} format"
"PolicyType","1 - Monoline general liability"
,"2 - Commercial auto liability"
,"3 – commercial multiperil"
,"4 - Medical professional liability"
,"5 - Other professional liability"
"PolicyForm","1 - Occurrence"
,"2 - Claims made"
"BusinessClass","1 - Agriculture"
,"2 - Mining"
,"3 - Manufacturer chemical/allied products"
,"4 - Medical products manufacturer"
,"5 - Drug manufacturers"
,"6 - Other products manufacturers"
,"7 - Transportation"
,"8 - Wholesale-retail trade"
,"9 - Municipal/public liability"
,"10 - Schools (public & private)"
,"11 - Daycare centers"
,"12 - Liquor liability"
,"13 - Non-profit organizations"
,"14 - Construction firms"
,"15 - Oil wells & drillings"
,"16 - Apartments, townhomes, and condos."
,"17 - Office"
,"18 - Churches"
,"19 - Physicians & surgeons"
,"20 - Dentists"
,"21 - Oral surgeons"
,"22 - Hospital"
,"23 - Nursing Home"
,"24 - Professionals - lawyers"
,"25 - Professionals - D & O"
,"26 - Other"
"Perperson_Policylimit","numeric"
"PerOccurrence_PolicyLimit","numeric"
"CombinedSingleLimit","numeric"
"Non_economicloss","Yes/No"
"Exemplarydamages","Yes/No"
"WhetherPrimaFacie_JointandSeveralLiability","Y / N / {space}  format"
"PrimaFacie_percentagefault_injured","numeric"
"PrimaFacie_percentagefault_insured","N / {space} format"
"PrimaFacie_percentagefault_otherinsured","N / {space} format"
"PrimaFacie_percentagefault_uninsured","N / {space} format"
"WorkersCompAvailability","Y / N / {space}  format"
"CollateralSourcesAvailability","Y / N / {space}  format"
"MedicalInsurance","Y /  {space}  format"
"DisabilityInsurance","Y /  {space}  format"
"SocialSecurityBenefits","Y /  {space}  format"
"Medicare_Medicaid","Y /  {space}  format"
"OtherCollateralSources","Y /  {space}  format"
"PolicyLimitPerInjury","numeric"
"Anyothercontributors","1  - Single Party"
,"2 - Multi Party"
"AnyMultipleInterestedparties","0 - No other interested parties"
,"1 - Other interested parties  involved"
"Match_Multiclaimant_multiInterestedparties_claim","0 - Multiple claimant file"
,"1 – Type1 Claim/Multiple interestedparties"
,"2 – Type2 Claim/Multiple interestedparties"
"ClaimSize","Targetattribute"
"PolicyID","ID"
